"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105386751",1175.2184674947,3.95887569659669,0.250319921175658,15.8152642346776,2.4418306855755e-56,3.48034127615077e-52
"LOC119693029",7377.90921940555,3.7700396056806,0.281303664204701,13.4020280764533,5.88331921714869e-41,4.19274744010102e-37
"LOC105391665",783.275843011911,2.97503081894082,0.225962064797638,13.1660631690772,1.3758711988405e-39,6.53676406569119e-36
"LOC105386376",1653.72070985499,1.97756150608411,0.15332654381601,12.897711360775,4.63663789208416e-38,1.65214999689689e-34
"LOC125491456",2856.11354929453,11.7696137141255,0.946227279997805,12.4384637421918,1.61581739904393e-35,4.60604907771463e-32
"LOC105393550",12098.3791881879,4.77142146673293,0.424980313743641,11.2273940990386,2.99172140277896e-29,7.10683419230141e-26
"LOC119690826",2405.84077027488,2.29825517678603,0.213601280267271,10.7595571239569,5.34263028220112e-27,1.08783584874589e-23
"LOC105387530",28040.5180526548,-1.34347189401588,0.125642141540546,-10.6928445945211,1.0994619201127e-26,1.95882884342079e-23
"LOC105383939",2486.00729235143,1.95322714357561,0.185136227926821,10.550215727349,5.06805963540878e-26,8.0261171092757e-23
"LOC105386745",296.904244334958,-1.74222195753245,0.167289499263857,-10.4144131293294,2.13107870749067e-25,3.03742648178645e-22
"LOC119693861",462.719290881712,1.94975257557675,0.188269524116072,10.3561773193557,3.92329726031802e-25,5.08352325921025e-22
"LOC105389540",269.327270347595,1.95925727873798,0.18968836442624,10.3288216157288,5.21978639325171e-25,6.19980128858472e-22
"LOC105393722",33839.9191098466,2.36457121086714,0.22973437430068,10.292631296753,7.60687014667523e-25,8.34005540004323e-22
"LOC105386467",1034.44697753559,4.54567388079149,0.443054601457416,10.259850288968,1.06872300855819e-24,1.08803636007e-21
"LOC119690480",3146.08576696337,1.34802574890777,0.131538687171413,10.2481313892932,1.20653433759121e-24,1.14644892757917e-21
"LOC105387913",2334.25348416883,2.68715958534868,0.262478965162012,10.2376187885763,1.34506045840113e-24,1.19819666959945e-21
"LOC105387574",14917.1259467276,2.45671406084886,0.243182031165815,10.1023667294469,5.39247887576157e-24,4.52111773036645e-21
"LOC105386122",1245.58394053656,1.98401482173272,0.198013021593311,10.0196179310247,1.24985163978847e-23,9.89674190105839e-21
"LOC105381551",3294.1067907072,1.54096657700178,0.156356109652587,9.85549320986372,6.48972807155233e-23,4.86832074757028e-20
"LOC105386477",7728.17277229732,2.69057316625861,0.273733445885973,9.8291721625402,8.43089423303119e-23,6.00827677516968e-20
"LOC105383460",238.394344236699,3.26405271187464,0.333644724940892,9.78301908550448,1.3317750249804e-22,9.03894734811696e-20
"LOC105380335",1470.12015142449,1.94368943793344,0.19915006083032,9.75992389773612,1.67280701339605e-22,1.08375083463336e-19
"LOC105384055",440.185604267235,1.33710819910667,0.137155896621281,9.7488203718921,1.86624154378371e-22,1.12269711386386e-19
"LOC125490335",11470.9942354444,3.45812876679398,0.354770433402928,9.74751118243961,1.89046030539063e-22,1.12269711386386e-19
"LOC105382888",3205.06261217729,2.29879331860159,0.238692027760648,9.63079219766293,5.92707500218028e-22,3.37914400024302e-19
"LOC105387382",3927.96341524544,3.88043912927904,0.405373762539011,9.57249700862325,1.04354308322607e-21,5.72062290970047e-19
"LOC105385731",403.873574215393,2.50978077832203,0.262374396931125,9.56564667771629,1.11502193793713e-21,5.88607691904367e-19
"LOC105384146",3633.27815205974,2.41085189545459,0.252698064440395,9.5404446440596,1.42221212557254e-21,7.2395676520662e-19
